,Name,Tweet
0,Adam Schiff,"Ambassador Yovanovitch's removal from Ukraine is the beginning of the story,A story about the President’s efforts…"
1,Adam Schiff,My Republican colleagues would have the American public believe that Ambassador Marie Yovanovitch's testimony is no…
2,Adam Schiff,"Right now, President Trump is watching our hearing and tweeting baseless attacks against Ambassador Yovanovitch.T…"
3,Adam Schiff,"Ambassador Marie Yovanovitch is a stalwart anti-corruption advocate, dedicated to the rule of law.That made her a…"
4,Adam Schiff,"WATCH LIVE: @HouseIntel Hearing with Ambassador Marie Yovanovitch, a dedicated American diplomat who was forced fro…"
5,Adam Schiff,"My heart goes out to the students, faculty, staff and parents at Saugus High School in Santa Clarita. Kids should b…"
6,Adam Schiff,Taylor and Kent are dedicated public servants.The story they shared is deeply troubling—for our national security…
7,Adam Schiff,"Let's set the record straight:Trump wasn't working to help Ukraine root out corruption.On the July 25 call, he…"
8,Adam Schiff,"The facts are not seriously contested:This January, Trump's personal lawyer pressed Ukraine for investigations th…"
9,Adam Schiff,"This impeachment inquiry aims to answer a simple, yet deeply troubling question:Did the president invite or coerc…"
10,Adam Schiff,WATCH LIVE: @HouseIntel public hearing with Ambassador Bill Taylor and George Kent. They will testify about Trump…
11,Adam Schiff,Impeachment inquiry hearings next week: Tuesday morning: Jennifer Williams and Alexander VindmanTuesday afternoo…
12,Adam Schiff,"The Inspector General for the Intelligence Community did what the law demands of him.In a democracy, public serva…"
13,Adam Schiff,"This is an important victory for families of gun violence victims, who deserve their day in court.For over a deca…"
14,Adam Schiff,"Far from transparent, Trump has engaged in unprecedented obstruction. He‘s blocking more than a dozen witnesses f…"
15,Adam Schiff,Laura Cooper's testimony reveals how Trump froze Congressionally-approved aid to Ukraine. Cooper raised concerns ab…
16,Adam Schiff,"In honor of Veterans Day, here's the story of Navy veteran J.R. Starr, who contacted my office for help with the De…"
17,Adam Schiff,"First, Republicans objected to private depositions, even though almost fifty of their members could attend.Now, t…"
18,Adam Schiff,"We just released testimony of Lt. Col. Vindman and Dr. Fiona Hill, two patriotic public servants.This is first-ha…"
19,Adam Schiff,Here’s why George Kent matters:He and his colleagues recognized the impropriety of Trump’s Ukraine pressure campa…
20,Adam Schiff,"Ambassador Taylor's testimony reveals how, through a shadow foreign policy channel, Trump withheld military assista…"
21,Adam Schiff,"Next week, the House Intelligence Committee will hold its first open hearings as part of the impeachment inquiry.…"
22,Adam Schiff,"Our Founders understood that someday, a president might come to power who would abuse the office for personal gain…"
23,Adam Schiff,Testimony from Sondland and Volker demonstrates:➡️Trump used a White House meeting and military aid to pressure U…
24,Adam Schiff,Transcripts from Ambassadors Sondland and Volker show the progression of Trump's efforts to press Ukraine into the…
25,Adam Schiff,"For over a year, I resisted calls for an impeachment inquiry, knowing it is a remedy with serious consequences for…"
26,Adam Schiff,Trump just officially began the process of pulling out of the Paris Climate Agreement. With the effects of climat…
27,Adam Schiff,"The White House excuses keep changing.First it was: the House hasn’t held a vote.Then, a claim of immunity neve…"
28,Adam Schiff,Amb. Yovanovitch is a dedicated American diplomat who was forced from her position after a vicious smear campaign o…
29,Adam Schiff,"The president continues to target public servants, including those who have served their country in combat, with ba…"
30,Adam Schiff,"Soon, the American people will see new evidence of the President's abuse of power.Every Member of Congress will h…"
31,Adam Schiff,✔️Nearly 50 House Republicans can attend every deposition and interview.✔️Republicans have had equal time to ask…
32,Adam Schiff,The President’s misconduct makes today’s impeachment resolution necessary.To honor our oath to the Constitution.…
33,Adam Schiff,"Trump has urged Republicans to focus on the substance in the impeachment inquiry, not the process.I can confirm o…"
34,Adam Schiff,"The House just voted to recognize the Armenian Genocide – a vote I fought for 19 years to make possible, that tens…"
35,Adam Schiff,"Mr. President, I’m grateful to our armed forces and intelligence professionals who did such a brilliant job of el…"
36,Adam Schiff,"This week, we're voting to establish the format for open hearings that will be conducted as part of the impeachment…"
37,Adam Schiff,Nearly 50 Republicans can participate in the depositions.They have seen the call record and heard Mulvaney’s admi…
38,Adam Schiff,I understand why Trump doesn’t want more witnesses testifying.But I can’t understand why my GOP colleagues are en…
39,Adam Schiff,The death of ISIS leader al-Baghdadi is great news. A bloodthirsty killer has been brought to justice.Our profoun…
40,Adam Schiff,The White House’s stonewall continues to crumble.A judge just confirmed the House has a right to Mueller grand ju…
41,Adam Schiff,"This has been years in the making, thanks to the tireless advocacy of those who insisted the US must never be a par…"
42,Adam Schiff,"Ever since the Supreme Court gutted the Voting Rights Act in 2013, far too many Americans—especially people of colo…"
43,Adam Schiff,"Today, Laura Cooper did her lawful duty and answered questions from both parties.She did so notwithstanding effor…"
44,Adam Schiff,"The emoluments clause isn't ""phony"" — it’s in the Constitution.He is not ""in charge of the Hatch Act."" It's been…"
45,Adam Schiff,"Ambassador Taylor went to West Point, served in Vietnam, and left retirement to take this assignment at Secretary P…"
46,Adam Schiff,"Trump's Chief of Staff admitted military aid was withheld from an ally to get their help with an investigation, whi…"
