,Name,Tweet
0,Alexandria Cortez,he*
1,Alexandria Cortez,Trump himself is clearly not satisfied with only one article of impeachment.His choice to publicly broadcast his…
2,Alexandria Cortez,@rachael_scar @AdyBarkan 💜💜
3,Alexandria Cortez,😇
4,Alexandria Cortez,"@RubinReport This is the official Congressional press list, not a supporter mailing list.Our apologies, as someon…"
5,Alexandria Cortez,"Rep. Scalise, the only way you‘d conclude this is if you thought foreign interference is Trump‘s main strategy to w…"
6,Alexandria Cortez,"Call me radical, but maybe instead of setting ablaze hundreds of millions of dollars on multiple plutocratic, long…"
7,Alexandria Cortez,"When nurses have your back, you know it’s real. ♥️Thank you @NationalNurses and all our NNU nurses in the Bronx a…"
8,Alexandria Cortez,"I love how @RepPressley is not only introducing a #JusticeGuarantee bill today, but she’s also releasing materials…"
9,Alexandria Cortez,"Our team has been working on the Green New Deal for Public Housing for months, engaging residents &amp; experts.It ta…"
10,Alexandria Cortez,Today is a very big day!We’re unveiling our FIRST-ever Green New Deal infrastructure bill!👷🏽‍♀️🌎The GND for Pub…
11,Alexandria Cortez,Donald Trump abused the power of the US government to extort Ukraine into undermining the 2020 elections.Today’s…
12,Alexandria Cortez,I thought it was cool making it to Silver...But today I found out Rep. @JoshHarder is ranked PLATINUM! 😱
13,Alexandria Cortez,"@RickFox @LCSOfficial @LeagueOfLegends Yes! Thank you - it’s tough working your ELO up, but keep going! You got this 💪"
14,Alexandria Cortez,Don’t sleep on @PeterWelch! He’s great ☺️⬇️
15,Alexandria Cortez,I finally made it to Silver🥈😭
16,Alexandria Cortez,Stephen Miller must resign. Now.Each day we allow a white nationalist to be in charge of US immigration policy is…
17,Alexandria Cortez,"Stephen Miller, Trump’s architect of mass human rights abuses at the border (including child separation &amp; detention…"
18,Alexandria Cortez,Siempre sin miedo: proud and inspired by DACA advocates who are putting themselves on the line to fight for an incl…
19,Alexandria Cortez,"You were incredible, @sasha_velour! 💕"
20,Alexandria Cortez,The racial wealth gap is not an accident.It is the result of 100s of years of discriminatory practices+policies.…
21,Alexandria Cortez,"What’s happening right now in Bolivia isn’t democracy, it’s a coup.The people of Bolivia deserve free, fair, and…"
22,Alexandria Cortez,"Lo que está pasando en Bolivia en este momento no es democracia, es un golpe de estado.El pueblo de Bolivia se me…"
23,Alexandria Cortez,"If billionaires have this level of class solidarity, so should we. 🌹"
24,Alexandria Cortez,"It’s only when we talk about acting on climate do some ask,“how are you going to pay for it?”As though climate in…"
25,Alexandria Cortez,Many people are surprised to learn that I still knock doors almost everywhere I go ☺️ It’s how I get to know people…
26,Alexandria Cortez,Hello Iowa! ☺️👋🏽
27,Alexandria Cortez,@petersterne @erinmdurkin Yes 🙂
28,Alexandria Cortez,@AyannaPressley 💜
29,Alexandria Cortez,"Y’all, the billionaires are asking for a safe space - you know, in addition to the entire US economy and political…"
30,Alexandria Cortez,The #GreenNewDeal works in coal country because we‘ve been fighting to fully fund coal workers’ pensions &amp; work w/…
31,Alexandria Cortez,NYC: There’s still time to swing by your polling place and vote - polls close at 9pm!This year we have *5* ballot…
32,Alexandria Cortez,"When it comes to the climate crisis, tweaks and shortcuts aren’t enough to preserve our planet.Massive, systemic…"
33,Alexandria Cortez,Won’t you look at that: turns out all the chicken littles on raising min wage were wrong!🐣GOP said the sky would…
34,Alexandria Cortez,@JamesAguilarJr 😂
35,Alexandria Cortez,3. Head to your location and vote! Make sure you check the times because they vary.And if you don’t make it today…
36,Alexandria Cortez,"2. Find out how you’re going to vote! This year we have 5 ballot proposals, including one on RANKED CHOICE VOTING w…"
37,Alexandria Cortez,1. Find your early voting location.NOTE: It’s not the same as your regular polling location! So look it up since t…
38,Alexandria Cortez,"NYC: Did you know you can VOTE EARLY today?It’s easy, I just did it, and I’ll show you how in this thread ⬇️"
39,Alexandria Cortez,💡Quick Daylight Savings tip: if you worked a late shift last night when the clocks rolled back &amp; had to work an ext…
40,Alexandria Cortez,Ending mass incarceration means challenging a system that jails the poor to free the rich.Arresting people who ca…
41,Alexandria Cortez,"You are correct! But you tried to extort a foreign government for personal gain, so here we are."
42,Alexandria Cortez,Being a working person in Congress makes me better at my job.I can’t tell you how many members don’t know what it…
43,Alexandria Cortez,Back in the Bronx for our community Halloween &amp; Harvest party! 👻🎃Over 600 people in the neighborhood came togethe…
44,Alexandria Cortez,We did. That’s why we opened an impeachment inquiry.
45,Alexandria Cortez,I say this as a candidate that runs digital ads &amp; believe they can be productive + useful *IF* used responsibly.P…
46,Alexandria Cortez,Many folks have asked whether I believe all social media political ads should be banned outright.I believe that i…
47,Alexandria Cortez,This is a good call. Technology - and social media especially - has a powerful responsibility in preserving the int…
48,Alexandria Cortez,The Good News: We are hosting a kids’ Halloween/Harvest celebration party for NY-14 families tomorrow! 🎃🍂 The Bad…
49,Alexandria Cortez,@marianna182 That’s amore 💕
50,Alexandria Cortez,@camjwolf Well I *am* anti-establishment 😉jk I’ve never been
51,Alexandria Cortez,"The climate crisis threatens our way of life, and we must decarbonize our economy &amp; way of life to save the planet.…"
52,Alexandria Cortez,Yeah that’s kind of the point
53,Alexandria Cortez,The Squad is big!!
54,Alexandria Cortez,"Courageous workers at Facebook are now standing up to the corporation’s leadership, challenging Zuckerberg’s distur…"
55,Alexandria Cortez,This is what climate change looks like.The GOP like to mock scientific warnings about climate change as exaggerat…
56,Alexandria Cortez,Zuckerberg has been justifying Facebook’s increasingly disturbing decisions by acting like the company is some inno…
57,Alexandria Cortez,Here’s what we know:- Zuckerberg ”doesn’t know” when he/FB discovered the Cambridge Analytica scandal. That is ha…
58,Alexandria Cortez,@jbouie Everyone sleeps on Janeway
59,Alexandria Cortez,"There are several aspects to Zuckerberg’s answers on Cambridge Analytica, paid disinformation ads, &amp; Facebook’s tie…"
60,Alexandria Cortez,"Progressive policies as an Ariana dance party:👋🏽 thank u, next: Replace for-profit health insurance w/…"
61,Alexandria Cortez,"@RepSeanMaloney Could use more avocado toast, but you’re in! 🛴🥑"
62,Alexandria Cortez,"“Emmett Till signs have been stolen, thrown in the river, replaced, shot, replaced again, shot again and defaced wi…"
63,Alexandria Cortez,There have been many aspects of the GOP’s little flash mob that have relied on mountains of entitlement and privile…
64,Alexandria Cortez,"Rep. Mooney, you &amp; I both know that when a massive crime is committed, the 1st step is to separate witnesses &amp; get…"
65,Alexandria Cortez,"What’s worse: since many of the flash mob already sat on the committees, they *knew* how serious a breach it was to…"
66,Alexandria Cortez,Important to remember that GOP&amp;Dem members have been part of impeachment depositions this whole time.All you need…
67,Alexandria Cortez,"@jahimes Yes, asking for a friend... or 30 😉"
68,Alexandria Cortez,@waltshaub @brian_wooley Twitter separates your DMs into two inboxes - one from people you follow/talk to and one f…
69,Alexandria Cortez,"(That said, your question is more likely to be read if you comment instead because RIP my DMs for real. The things…"
70,Alexandria Cortez,@AsteadWesley It’s me. I sift through it 😭
71,Alexandria Cortez,Many of you have commented with “DM me” - so I am opening my DMs for tonight and tomorrow for question recommendations.
72,Alexandria Cortez,"Hypothetically, if you were, say, a member of Congress sitting on the Financial Services Committee given 5 minutes…"
73,Alexandria Cortez,"It is atrocious that the President would refer to one of the most horrifying, violent practices of white supremacis…"
74,Alexandria Cortez,@JCisnerosTX Looking forward to it! 💕
75,Alexandria Cortez,"If you take time to get to know @JCisnerosTX, you’ll understand how important her voice would be to Congress.Back…"
76,Alexandria Cortez,"Last year, NY-14 elected me as the youngest woman to serve in Congress.Let’s help Jessica Cisneros shatter that r…"
77,Alexandria Cortez,"If ~2 years and 20+ candidates aren’t enough for ya, I don’t know what to tell you."
78,Alexandria Cortez,@MayaRupert Of course! Grateful for what you do.
79,Alexandria Cortez,Julián is a powerful presence in this race. I’m really proud of him &amp; how he consistently uses his platform to upli…
80,Alexandria Cortez,Celia Cruz remains THE greatest salsera of all time. An icon.Know your history! 👑💃🏿
81,Alexandria Cortez,Fun fact: @RepKatiePorter is the bomb &amp; she’s also one of the funniest members of Congress.She’s a champion for w…
82,Alexandria Cortez,A lot of people think that folks like your typical lawyer or doctor are in “the 1%.”That may be bc it’s hard to c…
83,Alexandria Cortez,"@bradlander @TeamWarren @BernieSanders Thanks, @bradlander! We should all be grateful to have such strong, progress…"
84,Alexandria Cortez,@neeratanden @HillaryClinton Hi Neera!I’m deeply thankful for Sec. Clinton’s leadership and role in the establish…
85,Alexandria Cortez,"Today I am endorsing Senator @BernieSanders for president.In the end, we must come together to defeat Donald Trum…"
86,Alexandria Cortez,Hey all!We’re having a big ol’ NYC party tomorrow &amp; everyone’s invited.Thousands of people are RSVP’d. All are…
87,Alexandria Cortez,"“Thank you for asking, bc not many people have asked if I’m ok.”Sudden prominence is a very dehumanizing experien…"
88,Alexandria Cortez,"The President of the United States is using the language of ethnic cleansing.If we allow him to continue, who wou…"
89,Alexandria Cortez,A devastating loss for our country.Chairman Cummings was a giant: a universally respected leader who brought prof…
90,Alexandria Cortez,“This president is caging kids at the border while letting ISIS go free.”@JulianCastro coming with the straight up truth.
91,Alexandria Cortez,Tax the rich.
92,Alexandria Cortez,That part ⬇️
93,Alexandria Cortez,Thank you! There are too many plans out there that seem more interested in protecting corporate profits than protec…
94,Alexandria Cortez,@rgunns Happy birthday! 🎉🎈🎂
95,Alexandria Cortez,"Both rationality &amp; emotion are inextricable to good leadership, which balances the two.If a person doesn’t feel u…"
96,Alexandria Cortez,"It is time we trash the idea that empathy = leadership weakness.When people hurt, we should hurt too. That’s what…"
