,Name,Tweet
0,Elizabeth Warren,"20 years ago, the @WorcesterFD courageously ran into a burning warehouse, &amp; six brave firefighters didn’t make it out. Today we honor the Worcester 6, &amp; we remember the sacrifice that all our firefighters make to keep us safe every day. #W6","durham gloucester chelmsford northampton winnipeg rochester norfolk tulsa taunton edmonton burn burns ground blood grass burned light body fire heavy rental facility planner factory garage equipment construction storage transportation retail responders crews policemen officers wounded residents firemen soldiers civilians paramedics need put take can n't better give get them they need put take can n't better give get them they ‘ ' ’n ` nin ′ “ ] ın "" tomorrow day yesterday coming work now again tonight yet this sacrifices reward patience forgiveness greatness faith strength discipline happiness humility forget when think thought know n't never did knew where honour funeral mandela heroes privilege father jesus present labor plan battery electric db load replacement powered usb solid compact dual "
1,Elizabeth Warren,"For far too long, big corporations have taken advantage of part-time workers with unpredictable work schedules – creating real hardships for them. My bill with @RepSchakowsky strengthens the rights, stability, &amp; other protections workers deserve to build better financial futures.",then break last maybe before next again first now this employees worker unions aid owners companies farmers citizens officials government least being almost close first before months probably be last consideration expect value effort interest handle opportunity measure responsibility avoid reduces comforts calms eases restores relieves destroys improves soothes alters little up the look like this boy some another get governments consumers politicians unions ceos companies lobbyists billionaires americans taxpayers flexibility toughness sensitivity restraint commitment cooperation consistency capability authority integrity terrorism laws equality government political military democracy marriage policy groups story end on first age the long secret life second but end way bad today short too day maybe last yet way lot come there one all fine 've it tax obama clinton law romney bush says hillary campaign gov. battery electric db load replacement powered usb solid compact dual 
2,Elizabeth Warren,The Part-Time Worker Bill of Rights Act would:❌ Require big companies to offer available hours to part-time employees before hiring new employees/subcontractors❌ Make more part-time employees eligible for FMLA❌ Give part-time workers access to pension plans,then break last maybe before next again first now this customers workers employers owners employee businesses executives companies consumers ceos pensions fund tax funding expenses funds compensation insurance welfare wage planned planning ahead budget work deal changes change early hopefully story end on first age the long secret life second 
3,Elizabeth Warren,2/3 of part-time retail &amp; food workers want full-time work – but corporations often keep workers part-time to save on wages &amp; benefits. @RepSchakowsky &amp; I are introducing the Part-Time Worker Bill of Rights Act to boost protections for part-time workers.,terrorism laws equality government political military democracy marriage policy groups lie talk matter rather either not people reason they acting increase improve energy growth helps productivity fuel profit efficiency profits convictions libel incitement safeguards liberties plaintiffs disenfranchisement intimidation regimes degradation then break last maybe before next again first now this employees worker unions aid owners companies farmers citizens officials government then break last maybe before next again first now this company housing deals insurance business sales corporate services companies product then break last maybe before next again first now this wage salaries costs salary pensioners taxes cost hikes fees profits help bring us give take make saving away or your story end on first age the long secret life second announcing interviewing joining presenting newest feature promoting adding bringing featured health benefit costs options insurance companies products tax including process battery electric db load replacement powered usb solid compact dual 
4,Elizabeth Warren,"All workers, including Harvard grad students, should have the right to organize &amp; fight for better wages &amp; working conditions. I've joined the entire MA delegation in urging Harvard’s leadership to negotiate in good faith with @hgsuuaw for a fair agreement.",work doing taking going having getting while now looking started delays areas severe weather routes warnings roads fog forecast cloudy well great too nice better day this it night way strength spirit wisdom god lord freedom christ truth peace fear place course next today sure point way going st but contract partnership terms negotiations treaty cooperation contracts bid acquisition approval but way it n't think that could either get should wage salaries costs salary pensioners taxes cost hikes fees profits employees worker unions aid owners companies farmers citizens officials government though again it now but way there this that thing explore build decorate develop transform create navigate expand manage provoke compromise execute implement employ comply prosecute negotiated intervene repay retaliate education innovation development sustainability strategy leaders values principles journalism empowerment joining been showed decided interviewed recently visiting started helped announced let fighting kill catch run take n't talk end him whole every second third throughout into our first another lost opposition envoy coalition rallies u.n. delegations welcomes representatives minister diplomat battery electric db load replacement powered usb solid compact dual 
5,Elizabeth Warren,"Retail, fast food, &amp; other hourly workers deserve some basic fairness when it comes to scheduling shifts. That’s why my #SchedulesThatWork Act with @rosadelauro would end some of the very worst abuses that hurt workers &amp; families. #FairWorkWeek","worse thing reason bad awful every having probably shitty crap abuse tortures terrorism impunity atrocities rapes crimes involvement violence massacres schedules continuity practices tutoring managing advising evaluation meetings off-season eqao schedules meetings shift practices classes alarms stressful appointments deadlines weekends lie talk matter rather either not people reason they acting hurts hurting feel scared reason wont cry afraid either worse employees worker unions aid owners companies farmers citizens officials government quick easy faster find every run now until hit hours coffee eat breakfast eating lunch junk meat cooking dinner foods short type shape definition high smart black white wear standards transparency values concern integrity accountability unfair equal professionalism whatsoever consideration ‘ ' ’n ` nin ′ “ ] ın "" company housing deals insurance business sales corporate services companies product veterans victims children homes vets communities residents lives survivors soldiers makes goes when means there nothing life it thing because battery electric db load replacement powered usb solid compact dual "
6,Elizabeth Warren,"Holtec shouldn't be exempt from important emergency prep safeguards as it decommissions the Pilgrim Nuclear Power Station. The community has rightly raised important questions about the plant's decommissioning. They deserve answers, not more strong-arming.",deserves give deserved given doubt proud appreciate enough anything expect answer questions write words answered advice respond read answering texts heart calm more always keep way very positive better stay plants farm oil water cannabis tree factory mountain grass seeds compulsory mandatory entitlements violating retaking abolish enforcing schooling failing probation blacklisting decontamination hyperinflation crowd-sourcing irans curtail proliferation rewiring emergent colonization youth business group development networking association local network international center jihadists meddling jihadis deporting colluding blackmailing mobilizing aiding advocating mullahs 
7,Elizabeth Warren,"US military hardware in the hands of armed groups in Yemen violates US law &amp; undermines our security. Glad that @StateDept &amp; @DeptofDefense are investigating, but Saudi &amp; UAE govts aren’t fully cooperating. I still think selling them arms is a bad idea.","kuwait gcc oman saudi qatar lebanon egypt bahrain abudhabi arabia governments councils councillors bureaucrats policymakers institutions parliamentarians cllrs repubs departments completely properly able prepared managed decided secure easily consider hardly reared beig bombarding co-operating retaliating hindering workig resuming palming resembling but damn shit hell crazy thing n't really like that actual quite terrible mate simple plan horrible comes personal no officers policemen suspected terrorists military soldiers forces authorities unarmed afghan members leaders organizations journalists activists agencies rights orgs countries politicians ‘ ' ’n ` nin ′ “ ] ın "" reinforces asserts eroding imposing contradicts entrenched negates perpetuates exemplifies legitimacy safety system government issues emergency service military report monitoring access uae kuwait qatar arabia lebanon gcc oman egypt bahrain iraq investigation alleged investigate accused investigated arrest suspect authorities charged enforcement head arms hold hand fingers feet eyes mouth heads behind well hope thought 've definitely loved missed sure remember just hands neck arm chest feet legs knees hand shoulders fingers battery electric db load replacement powered usb solid compact dual "
8,Elizabeth Warren,"President Trump's trade-war-by-tweet with China is hurting cranberry farmers in MA &amp; across the country. @SenMarkey, @USRepKeating, @RepJoeKennedy &amp; I are urging the @USTradeRep to find new markets to compensate for China’s 40% tariffs on US cranberries.","our will for there bring to other the see where linger scorpions mogwai korn eurythmics trivium bees pixies toxicity pacemakers obama barack clinton minister says romney kerry potus pope hillary zappos perkins donald buffett harper bloomberg clinton rove rogers macy india asia australia capital africa global america vietnam hong nigeria ‘ ' ’n ` nin ′ “ ] ın "" india asia australia capital africa global america vietnam hong nigeria battle wars hunger death also land of revolution an laden urged advises denounce issuing legislators allowing advising lawmakers electing advised twitter tweets hashtag fb twit unfollow spam reply tl dm exchange deal trades trading potential sign interest return draft options tariff subsidies tankers biofuels grids imports telcos inventories panels deployments american america south the world way africa town us where mitigate assured accommodate compensated equate hindered accomodate benefited disposed prevented battery electric db load replacement powered usb solid compact dual into near through around behind middle onto ground inside down "
9,Elizabeth Warren,"This month, my POW/MIA Flag Act became law. Starting this week, you’ll see this Flag flying with the US flag over the Capitol permanently. This symbol must now be displayed daily at many federal sites across the nation so we never forget our servicemembers who didn’t return home.","our will for there bring to other the see where flags navy border stripes olympic yellow army wing tribal blue represents symbols triangle charm identity object tattooed butterfly ancient sacred should would could will if only 'll can they n't returns another returning sign will second end ahead after until house going out up work now here at today coming n't remember ever always know not forget could think even remember remind 'll let give n't never take if know flags navy border stripes olympic yellow army wing tribal blue flies plane space fly giant birds snow away around outside exhibited viewed displaying demonstrated highlighted shown recognized depicted represented casted weekly post research information business health latest community stories updates d.c. courthouse lodge harbor washington convention atlantic memorial historic manhattan temporarily partially severely emotionally surgically physically attached damaged magically removed ‘ ' ’n ` nin ′ “ ] ın "" weekend last weeks later today next year days tomorrow monday going start early weeks today coming working getting forward work racehorses gazebos servicemen helplines brutalize low-income jawans schoolchildren breadwinners kindergartens where you know there 'll let here what how it memo aee boom nois mlk carai caraio manow vey doido eagles warriors saints pride kings team defense victory cowboys squad year months weeks days years next june july week october "
