,Name,Tweet
0,Joe Biden,"I just finished tonight’s CNN Town Hall, where I laid out my vision for our future and how I’ll deliver real progre…"
1,Joe Biden,Donald Trump has violated his oath of office and betrayed our nation. He should be impeached.
2,Joe Biden,"At tonight's @CNN Town Hall in Iowa, I laid out my bold vision for the country and why I'm the best candidate in th…"
3,Joe Biden,Looking forward to joining @ErinBurnett for tonight’s town hall in Iowa to discuss what’s at stake in this election…
4,Joe Biden,Our veterans and their families represent the absolute best that our country has to offer. I had the honor of spend…
5,Joe Biden,"The campaign trail is always more fun when you join, @DrBiden. What a great weekend in New Hampshire!"
6,Joe Biden,"President Trump has repeatedly failed our veterans, and our sacred obligation as a nation: to properly prepare and…"
7,Joe Biden,We owe our veterans more than we could ever repay — and it’s our sacred obligation to care for them and their famil…
8,Joe Biden,"I understand the sleepless nights, wondering if your deployed child is safe, and all the added sacrifices military…"
9,Joe Biden,Less than 1% of our population risks everything to protect our country — the other 99% of us owe them more than we…
10,Joe Biden,"Today, I’m releasing my plan to ensure our veterans receive what they deserve: our respect and enduring gratitude,…"
11,Joe Biden,The most sacred obligation of our government is to do right by the men and women who defend our nation at war. Vete…
12,Joe Biden,"Together we can, and will, make Donald Trump a one-term president."
13,Joe Biden,We don’t say it enough — Barack Obama was a great president. And I’m proud to have worked alongside him.
14,Joe Biden,"HBCUs and MSIs play a vital role in our communities. As president, I’ll invest $70 billion in these institutions to…"
15,Joe Biden,"I’m running for president to restore the soul of this nation, rebuild its backbone — the middle class, and unify al…"
16,Joe Biden,"The ACA was, and is, a big deal. It took generations of presidents trying to expand health care access, and Preside…"
17,Joe Biden,There is no denying the devastating effects climate change has on our planet — we need to take action. As preside…
18,Joe Biden,"Thirty years ago today, the people of Berlin tore down a wall and vanquished a dictatorship. We must not forget the…"
19,Joe Biden,"Because a union fought for their private health insurance plan, Marcy and her husband were able to retire with dign…"
20,Joe Biden,My plan to build on Obamacare will expand health care coverage and lower costs — without raising taxes on the middl…
21,Joe Biden,A fresh Fall day in New Hampshire spent serving chili to our nation’s finest — firefighters.
22,Joe Biden,Health care is a right. Every American should have the peace of mind that comes from access to affordable health ca…
23,Joe Biden,"We have to start rewarding work, not wealth. As president, I will build a stronger, more inclusive middle class — n…"
24,Joe Biden,Kids shouldn’t have to worry about their safety while they’re at school. Together — we’ll put an end to our gun vio…
25,Joe Biden,"This anniversary is not only a reminder of the cruelty these communities, especially Latinos, have tirelessly faced…"
26,Joe Biden,"25 years ago, California approved Prop. 187 — a measure designed to strategically disenfranchise immigrant communit…"
27,Joe Biden,"President Trump’s trade war is reckless, and hurting our farmers every day."
28,Joe Biden,It’s official — we’re on the ballot in New Hampshire. Join us: https://t.co/qN0D1vzpyn.
29,Joe Biden,"Every kid deserves a quality education and every family deserves to live in a safe, healthy community. That's why I…"
30,Joe Biden,I’m more optimistic about our future today than I was when I got elected to the Senate as a 29-year-old. If we unit…
31,Joe Biden,I led the successful fight in the 1980s to stop Jeff Sessions’ nomination for a federal judgeship. I hope the peopl…
32,Joe Biden,"As California continues to burn, President Trump wants to withhold critical aid and abandon our firefighters when t…"
33,Joe Biden,The courage and determination of folks like @fred_guttenberg have turned the fight for gun safety reform from a cau…
