,Name,Tweet
0,Kamala Harris,This isn't the first time powerful forces have attempted to smear a woman for speaking the truth. Ambassador Marie…
1,Kamala Harris,"Last week, I asked the FBI Director whether Giuliani was a counterintelligence threat. He wouldn't say.We just fo…"
2,Kamala Harris,"Our children are being traumatized by gun violence. This is tragic, preventable, and it has to stop."
3,Kamala Harris,"As news broke of the shooting at Saugus High School, my friend Chris Murphy was on the Senate floor demanding actio…"
4,Kamala Harris,Officials have just confirmed that 1 student has passed away from the shooting at Saugus High School. This is heart…
5,Kamala Harris,My office is monitoring the situation—please avoid the area around Saugus High School. Grateful for first responder…
6,Kamala Harris,Watch this questioning by @RepValDemings. This is exactly why I've called for an investigation into Rudy Giuliani's…
7,Kamala Harris,I'm proud to cosponsor the Violence Against Women Reauthorization Act in the Senate. It's time we ensured support f…
8,Kamala Harris,"Today, the Supreme Court heard arguments in a case that could narrow the oldest civil rights law in our country.…"
9,Kamala Harris,"Right now, #DACA recipients can't travel abroad without the risk of losing their status—including to visit family w…"
10,Kamala Harris,"After their equipment sparked deadly fires, @PGE4Me filed for bankruptcy—then tried to reward their executives with…"
11,Kamala Harris,"Yesterday, I led @SenBlumenthal and @SenWhitehouse in a letter demanding the DOJ Inspector General investigate poli…"
12,Kamala Harris,"In 2017, I asked then-DHS Secretary John Kelly whether he had ever met a DREAMer—he said no. It's clear that this a…"
13,Kamala Harris,"In October, I sent a letter to every Trump cabinet official demanding they ""Report any effort within your departmen…"
14,Kamala Harris,Let’s not mince words: more people will die because of this decision.
15,Kamala Harris,Utterly disgraceful for the president to attack DACA recipients with this lie. So here’s the truth: DACA recipients…
16,Kamala Harris,"California has more at stake in SCOTUS’s decision on the fate of #DACA than any other state. To the 220,000 DREAMer…"
17,Kamala Harris,"As we honor veterans who have served our nation, we cannot forget the hundreds of DREAMers who have served in our A…"
18,Kamala Harris,We need to know whether Trump improperly requested that Attorney General Barr hold a news conference exonerating hi…
19,Kamala Harris,"This Veterans Day, we honor our veterans and their families in California and across the country who have sacrifice…"
20,Kamala Harris,Unacceptable. ICE is rushing through new contracts before California’s ban on private immigration detention centers…
21,Kamala Harris,"Marquis Jefferson should never have had to bury his daughter, Atatiana. My heart goes out to the Jefferson family,…"
22,Kamala Harris,Public impeachment hearings begin this week and my Senate Republican colleagues are choosing to close their eyes an…
23,Kamala Harris,"I refuse to let @ICEgov get away with not turning over footage of Roxsana Hernández, a 33-year-old transgender Lati…"
24,Kamala Harris,A reminder of how unacceptable it was when Barr admitted he didn’t review the underlying evidence in Mueller's inve…
25,Kamala Harris,"It's simply inhumane to prevent DACA recipients from traveling abroad, including to visit family members who are si…"
26,Kamala Harris,Trump claims he never asked Attorney General Barr to hold a news conference exonerating him on Ukraine.I've submi…
27,Kamala Harris,"The Camp Fire was the deadliest and most destructive wildfire in California’s history. One year later, we remember…"
28,Kamala Harris,Republicans are closing their eyes and plugging their ears to avoid the facts that are out there. Americans want le…
29,Kamala Harris,Trump put a target on our Refugee Admissions Program from day 1 and has continued to tear down this program that de…
30,Kamala Harris,"Working parents agree: it’s time we ensure they have peace of mind that their children are in a safe, enriching env…"
31,Kamala Harris,Everyone should be outraged by Steven Menashi's nomination to the 2nd Circuit. He was a top legal advisor on DeVos’…
32,Kamala Harris,.@PGE4Me's failure to provide claim forms or translators for Spanish-speaking customers affected by blackouts is di…
33,Kamala Harris,"One year ago, dozens of people in Thousand Oaks, CA were making plans to go to college night at a local bar. 12 of…"
34,Kamala Harris,CC: @USSoccer
35,Kamala Harris,"Yesterday, Republican leaders shot down a bipartisan bill to provide critical funding for HBCUs and other Minority…"
36,Kamala Harris,#JusticeForRoxsana
37,Kamala Harris,"I asked FBI Director Wray: Has Mr. Giuliani made any formal representations, at least to the Justice Department or…"
38,Kamala Harris,Met our newest pawlicy advisor today—say hi to Newton!
39,Kamala Harris,I’m in the Senate Homeland Security Committee hearing to question FBI Director Wray. We need to make sure the White…
40,Kamala Harris,"Some #TuesdayMotivation from one of my heroes, the great Congresswoman Shirley Chisholm, who became the first Black…"
41,Kamala Harris,"This is a destructive and short-sighted decision based on science fiction, not science fact. Once again, Trump has…"
42,Kamala Harris,This is a blatant attempt to intimidate witnesses—file it under ‘impeachable offenses.’
43,Kamala Harris,"Roxsana Hernández, a 33-year-old transgender Latinx woman who died in U.S. custody, should still be alive today. In…"
44,Kamala Harris,"Last week, our bill recognizing NASA’s ‘Hidden Figures’ with a Congressional Gold Medal was formally signed.Kathe…"
45,Kamala Harris,"DREAMers represent the best of who we are as a country. Next week, the Supreme Court will hear arguments in a case…"
46,Kamala Harris,"A disturbing reminder that white supremacy is real in America. We have come a long way since 1955, but the fight ag…"
47,Kamala Harris,Outing a whistleblower is dangerous and unacceptable. I'll say it again: any Member or staffer who helps such an ef…
48,Kamala Harris,This is what a cover-up looks like.
49,Kamala Harris,This is wrong. Every customer affected by PG&amp;E's blackouts should receive this refund across the board—not just a f…
50,Kamala Harris,"Last week, I called for an investigation into whether ICE destroyed video footage of Roxsana Hernández.Now we're…"
51,Kamala Harris,You should never fly drones into areas affected by ongoing fires. Firefighters will ground helicopters to avoid col…
52,Kamala Harris,"Dr. Christine Blasey Ford is a true profile in courage.Meanwhile, Brett Kavanaugh’s seat on the Supreme Court con…"
53,Kamala Harris,Typical. We're in the middle of a gun violence epidemic in America where our own kids wonder if they're going to di…
54,Kamala Harris,Open enrollment for healthcare coverage under the Affordable Care Act opens TODAY. Don't miss the opportunity to…
55,Kamala Harris,None of this is true.
56,Kamala Harris,Heartbroken by the news of another shooting in California. Grateful to the officers &amp; first responders who were on…
57,Kamala Harris,"If ICE destroyed video evidence to cover up what happened to Roxsana Hernández, a transgender woman who died in the…"
58,Kamala Harris,"It's unacceptable that companies like AT&amp;T, Verizon, and T-Mobile haven't stepped up to work with California to pro…"
59,Kamala Harris,"Any day now, the 5th Circuit could overturn the Affordable Care Act. Millions of people could lose their health ins…"
60,Kamala Harris,It's clear from Rudy Giuliani’s pocket dial that he must be further investigated.I'm demanding the State Dept IG…
61,Kamala Harris,"Mandatory evacuation orders are in place for two new fires in California, the #HillsideFire in San Bernardino and…"
62,Kamala Harris,Any effort to purposely out a whistleblower is dangerous and unacceptable. And any Member or staffer who helps such…
63,Kamala Harris,"If you have been evacuated due to the #GettyFire, note that LAPD may be able to temporarily escort you back to your…"
64,Kamala Harris,There are several fires across California right now and it’s critical that residents stay informed. Visit…
65,Kamala Harris,A new fire is quickly spreading in the Simi Valley area and mandatory evacuation orders have been issued. All schoo…
66,Kamala Harris,We cannot overlook how irresponsible it is that neither DHS nor FEMA have permanent leaders in their top spots. The…
67,Kamala Harris,I sit on the Senate Intelligence Committee and know the women and men of our Intel community make great personal sa…
68,Kamala Harris,"Elijah Cummings fought for the soul of America and will always be remembered as a giant in Congress.Today, I subm…"
69,Kamala Harris,HUD Secretary Ben Carson’s derogatory statements about transgender people are hurtful and have no place in America.…
70,Kamala Harris,"The disproportionate impact these fires are having on our most vulnerable populations, including domestic workers,…"
71,Kamala Harris,I want all Californians to know that I am absolutely committed to helping our state receive every federal resource…
72,Kamala Harris,Steven Menashi is up for a lifetime seat on the 2nd Circuit &amp; has refused to answer questions about his work in the…
73,Kamala Harris,Updates on the #GettyFire:All schools in Santa Monica and Malibu are now closed as well as several campuses in LA…
74,Kamala Harris,A very happy #Diwali to all those celebrating in California and across the country! May the victory of light over d…
75,Kamala Harris,Terrific news for our transgender community in California. At a time when powerful forces are attempting to silence…
76,Kamala Harris,"One year ago, 11 lives were senselessly taken from us at the #TreeofLife Synagogue during a Shabbat morning service…"
77,Kamala Harris,"As devastating fires spread across California, an important lesson from the survivors in Paradise: we are strong an…"
78,Kamala Harris,"Few know the reality of what’s at stake in Syria more than @SenDuckworth, a combat veteran who served in Iraq. And…"
79,Kamala Harris,Grateful to the hundreds of firefighters in our state working tirelessly to ensure the safety of communities threat…
80,Kamala Harris,I’m fed up with Attorney General Barr stonewalling my requests for information related to political interference in…
81,Kamala Harris,Let’s be real—in 2019 we should not have days of mass blackouts because of mismanagement and misplaced priorities b…
82,Kamala Harris,"Right now there are several dangerous fires in California, including the #TickFire and #KincadeFire. It’s critical…"
83,Kamala Harris,There’s nothing Simone Biles can’t do—including throwing the best first pitch ever.
84,Kamala Harris,The reality is that lives are at stake if leaders don't step up to address Americans’ right to clean air. As this a…
85,Kamala Harris,Republicans physically raided a secure room to intimidate a witness. They knowingly compromised a SCIF to obstruct…
86,Kamala Harris,The #KincadeFire in Sonoma County erupted overnight and is growing quickly. Everyone in Geyserville must evacuate i…
