,Name,Tweet
0,Barack Obama,"Stories like this are a reminder of our duty, as a country and as Americans, to support every veteran—not only in w…"
1,Barack Obama,"This Veterans Day, here’s a moving portrait of the extraordinary resilience of my friend Cory Remsburg, an Army Ran…"
2,Barack Obama,"No one says it better than @MichelleObama — the Obama Presidential Center coming to the South Side isn't for us, it…"
3,Barack Obama,"Proud of all the Americans who showed up to vote yesterday, electing a set of hopeful, forward-thinking leaders pri…"
4,Barack Obama,Proud to endorse an outstanding group of Virginia Democrats in Tuesday’s election—candidates who’ll not only advanc…
5,Barack Obama,"Today’s the first day of open enrollment on https://t.co/ob1Ynoesod, and high-quality coverage might be more afford…"
6,Barack Obama,Congrats to the World Champion @Nationals and their fans! A great group that always showed up when it counted and w…
7,Barack Obama,Glad to be back in Chicago for the @ObamaFoundation Summit. It’s where I first learned to organize—and where I met…
8,Barack Obama,".@SamanthaJPower is a Pulitzer winner, an incredible writer, and a great friend. Her memoir, The Education of an Id…"
9,Barack Obama,"Michelle and I are heartbroken over the passing of our friend, Elijah Cummings. May his example inspire more Americ…"
10,Barack Obama,"I was proud to work with Justin Trudeau as President. He's a hard-working, effective leader who takes on big issues…"
11,Barack Obama,"In December, Michelle and I will head to Malaysia for the first @ObamaFoundation Leaders: Asia-Pacific gathering. T…"
12,Barack Obama,"Yesterday, marathoner Eliud Kipchoge became the first ever to break two hours. Today in Chicago, Brigid Kosgei set…"
13,Barack Obama,"Congrats to the @WashMystics on a gutsy, first-ever championship! A great team performance when it counted. If folk…"
14,Barack Obama,Here’s an interesting read—a reminder that behind every opinion lies a human being with real experiences and a stor…
15,Barack Obama,"As President, I leaned on @AmbassadorRice’s experience, expertise, and willingness to tell me what I needed to hear…"
16,Barack Obama,"Like the Beatles said: It’s getting better all the time. Thanks, babe, for 27 amazing years!"
17,Barack Obama,"On National Voter Registration Day, it’s up to us as citizens to make sure everyone we know can make their voices h…"
18,Barack Obama,One challenge will define the future for today’s young generation more dramatically than any other: Climate change.…
19,Barack Obama,"Just 16, @GretaThunberg is already one of our planet’s greatest advocates. Recognizing that her generation will bea…"
20,Barack Obama,That’s what Americans do when others are in need – we help. We give. We inspire. Want to make a difference? There a…
21,Barack Obama,"Jermaine Bell is just six years old, but when he saw people in need, he took the money he’d been saving for a trip…"
22,Barack Obama,Bahamian families and communities face a long recovery from Hurricane Dorian. And Americans are reaching out to hel…
23,Barack Obama,"As we remember those we lost on 9/11, we also remember the spirit of unity and togetherness that defined the weeks…"
24,Barack Obama,"Marca had a remarkable way of bringing out the best within us. For me, she was a trusted voice and a persistent, bu…"
25,Barack Obama,"Yesterday’s ruling is a big win for North Carolina—and for all of us. Voters should choose their representatives, n…"
26,Barack Obama,"Saw this story of a young person doing great work and wanted to share it—keep it up, David! That’s some creative or…"
27,Barack Obama,Training is at the heart of organizing. It’s why I’ve always made it a priority – from my 2008 campaign until now.…
28,Barack Obama,"With summer winding down, here’s a sampling of what Michelle and I have been listening to — some new, some old, som…"
29,Barack Obama,A good story gives you the chance to better understand someone else’s life. It can help you find common ground. And…
30,Barack Obama,"Toni Morrison was a national treasure, as good a storyteller, as captivating, in person as she was on the page. Her…"
31,Barack Obama,"Until all of us stand up and insist on holding public officials accountable for changing our gun laws, these traged…"
32,Barack Obama,
33,Barack Obama,"The families of our wounded warriors don't often get a lot of fanfare, but they're serving and sacrificing right al…"
34,Barack Obama,Recent court decisions make it clear that the change we need to restore our democracy has to come from the ground u…
35,Barack Obama,"Here’s a worthwhile Sunday read: “…nothing should temper partisanship more than an awareness that somewhere, on som…"
36,Barack Obama,"I’ve always been proud of what this team accomplished during my administration. But more than what we did, I’m prou…"
37,Barack Obama,Economist Raj Chetty is not only identifying the decline in opportunity we’ve seen in recent decades—but trying to…
38,Barack Obama,Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid e…
39,Barack Obama,"In America, we don’t fear the future, we embrace it. 50 years ago, that spirit took us to the moon. Today, it’s emb…"
40,Barack Obama,"#MandelaDay reminds us that when things feel dark, confusing, or impossible—take a look back at his writings. There…"
41,Barack Obama,I have a good feeling about these Chicago @UrbanAlliance interns. Thanks for letting me spend yesterday afternoon w…
42,Barack Obama,"The @ObamaFoundation is helping a new generation of leaders make their mark, and there’s an extraordinary group gat…"
43,Barack Obama,Proud to rep America’s best team! Congrats @USWNT and thanks for being such a strong inspiration for women and girl…
44,Barack Obama,"Yes! Fourth star. Back to back. Congrats to the record breakers on the @USWNT, an incredible team that’s always pus…"
45,Barack Obama,"Happy Fourth of July, everybody! This is always a great day in the Obama family: a chance to celebrate America—and…"
46,Barack Obama,"I’m admittedly biased, but this article gibes with my experience about what all of us might take away from the “alo…"
47,Barack Obama,Congrats to the USWNT! A great performance from a great team—looking forward to Sunday. #OneNationOneTeam
48,Barack Obama,No one changes the world alone. That’s why the @ObamaFoundation is connecting emerging leaders from South Africa to…
49,Barack Obama,The most important job in our democracy is citizen. If you’re tired of politicians manipulating maps and ignoring t…
50,Barack Obama,"50 years ago, history was written at the Stonewall Inn when New York's LGBT community stood up, spoke out, and star…"
51,Barack Obama,What a gift to come across this interview with Julia “Hurricane” Hawkins. I’m as grateful for her life advice as I…
52,Barack Obama,"Now we’re talking! Congrats to Team USA for moving on, and thanks for continuing to make us all proud. #USA"
53,Barack Obama,"On Juneteenth, we celebrate our capacity to make real the promise of our founding, that thing inside each of us tha…"
54,Barack Obama,"Outside the Oval Office, I kept a painting of a small crowd huddled around a pocketwatch, waiting for the moment th…"
55,Barack Obama,This is worth a read: a thought-provoking reminder that education reform isn’t a cure-all. As a supporter of educat…
56,Barack Obama,"Yes we can, Greta. I’m hopeful because of you and all the young people who are fighting to protect the planet. Keep…"
57,Barack Obama,"Happy Father’s Day to Charles, one of our @ObamaFoundation Fellows, and all the dads at Fathers’ Uplift. Today, we’…"
58,Barack Obama,The @USWNT is something to smile about. It was great to celebrate with them back in 2015 and I'm excited to root th…
59,Barack Obama,"Six years ago, David Ortiz's spirit and resolve helped us all begin to heal from the Boston Marathon bombing. Today…"
60,Barack Obama,"Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shat…"
61,Barack Obama,"You've got a lot to be proud of, Jiwandeep. Thanks for everything you do to make this country a little more equal.…"
62,Barack Obama,What a life. American history has always been driven by visionaries like Leah Chase—and all the men and women who w…
63,Barack Obama,"A story worth sharing: Twelve years ago, Brian joined my first presidential campaign. Two years ago, he was diagnos…"
64,Barack Obama,Exciting to see the faces of Colombia's future at an @ObamaFoundation roundtable with young leaders in Bogotá. Thei…
65,Barack Obama,"On Memorial Day, we remember all those who gave everything for something greater than themselves. It's up to us to…"
66,Barack Obama,Great to get out there and take a few cuts at the plate yesterday—I had a blast with all these extraordinary young…
67,Barack Obama,"Here’s a great story: While we’ve still got a lot of work to do to make college affordable for everyone, that didn’…"
68,Barack Obama,"Happy Mother's Day to the most caring, brilliant, funny, and grounded woman I know—a perfect role model not just fo…"
69,Barack Obama,"As part of the @ObamaFoundation, moms like Dr. Mwansa Ketty Lubeya are answering the call for change—and raising th…"
