,Name,Tweet
0,Trump,Thank you!,thanks bless hope thankyou welcome good you happy cheers dear 
1,Trump,Too bad. We will miss you Kamala!,love wish happy babe hope you friend see sister baby jewell l.b. baird landau latham leopold nichol glaxo damir shue but damn shit hell crazy thing n't really like that 
2,Trump,"The United States of America supports the brave people of Iran who are protesting for their FREEDOM. We have under the Trump Administration, and always will!",manchester liverpool arsenal chelsea tottenham swansea utd qpr england everton state u.s. canada countries government schools u.s ohio officials americans zappos perkins donald buffett harper bloomberg clinton rove rogers macy policy department government dept. policies dept gov council immigration unions souls innocent loving loved evil fearless such ordinary wonderful foolish other those they many them when ones because especially how africa world country american uk union canada europe the australia encourages believes protects allows supported accepts promotes support seeks demands protestors protest rioting activists protesters terrorists fleeing campaigning condemning opposed iraq libya syrian syria assad iranian israel afghanistan ukraine warns democracy liberty faith unity peace justice rights humanity spirit society really never n't still just better know who think when 
3,Trump,True!,life what know truth mean matter means that nothing you 
4,Trump,"Mini Mike Bloomberg has instructed his third rate news organization not to investigate him or any Democrat, but to go after President Trump, only. The Failing New York Times thinks that is O.K., because their hatred &amp; bias is so great they can’t even see straight. It’s not O.K.!","obama barack clinton minister says romney kerry potus pope hillary zappos perkins donald buffett harper bloomberg clinton rove rogers macy tb p q s rs cm kk e mt sl tb p q s rs cm kk e mt sl ‘ ' ’n ` nin ′ “ ] ın "" investigating arrest authorities threatened warrant investigation threatening plea investigated inquiry denounced advocated ridiculed consulted demonized campaigned vetted vilified demonstrated plotted ignorance stupidity anger negativity belief despair jealousy desperation fear intolerance amazing good fantastic awesome our wonderful today this the have lets going take let wanna 'll see gonna get run republican democratic libertarian conservative repub gop senator voters democrats politician maknae minho sulli sehun taemin yoona naeun namja luhan snsd battery electric db load replacement powered usb solid compact dual "
5,Trump,"Just landed in the United Kingdom, heading to London for NATO meetings tomorrow. Prior to landing I read the Republicans Report on the Impeachment Hoax. Great job! Radical Left has NO CASE. Read the Transcripts. Shouldn’t even be allowed. Can we go to Supreme Court to stop?","manchester liverpool arsenal chelsea tottenham swansea utd qpr england everton land paradise world gods treasure glory earth island empire fortress ruling court constitutional rejects justice appeals constitution democratic marriage military courts police public sec supreme appeal officials state prison against democrats conservatives liberals dems voters gop republican tories americans politicians reports research reporting coverage survey press news latest recent issue liberal religious secular socialist apartheid popular political revolutionary democracy vulgar came before went almost already since got took lost still proceedings libel prosecution resignation leveson scrutiny deportation graft lawsuit testify parody dibajak absurd twitternya barusan fitnah typo virus anonymous update amazing good fantastic awesome our wonderful today this the have business manager jobs hiring assistant management needed company service work ‘ ' ’n ` nin ′ “ ] ın "" transcript addresses affidavit schedules resignations hearings truancy conformation invoices appointments trying why n't talk talking keep quit about hate tweeting write book how answer about reading what post this if regarding previous terms numerous concerning discussed reduced several scheduled according sydney melbourne town birmingham australia glasgow city dublin uk brighton shuttle plane helicopter flight crash space boarding radar transit crossing flew crashed drove jumped struck plane near reached stepped safely leaving near going moving coming downtown visiting forward town home lets going take let wanna 'll see gonna get run want never had over hard we think n't when not cases cell charge black camera duty screen set or card they should trying either instead supposed forced able or allow "
6,Trump,"The Fed should lower rates (there is almost no inflation) and loosen, making us competitive with other nations, and manufacturing will SOAR! Dollar is very strong relative to others.",heart calm more always keep way very positive better stay instance persons significant whereas within condition aspect extent common reputation higher upper pressure increase below lowest average increased percent levels rate revenue unemployment decline profits costs prices increase mortgage payments soaring swell rise plummet stinging foxes rising unleashed crusaders morphing people themselves often other especially rather each trust lives their leaders countries european states coalition democracy europe citizens cities nigeria infrastructure housing mining systems industry production equity operations logistics investment tighten toughen looose moneys ease legislate inflate tightening heed pluck gdp unemployment growth forecasts eurozone recession revenues economy ecb decline despite government says deal bush govt economy cuts forced worried dollars pound million cash money billion sell cent cents pay already since probably went literally nearly 've took yesterday came 
7,Trump,"Manufacturers are being held back by the strong Dollar, which is being propped up by the ridiculous policies of the Federal Reserve - Which has called interest rates and quantitative tightening wrong from the first days of Jay Powell!",heart calm more always keep way very positive better stay dollars pound million cash money billion sell cent cents pay awful crap pathetic embarrassing insane shitty disgusting worse stupid unreal policy reforms regulations government obamacare unions immigration labour laws administration chris ray jason kelly mike ross kevin danny eric rick carroll campbell hughes henderson mitchell richards johnson davies hansen gordon over under moved holding holds behind row had close stood up out here now go down 'll get you off last second next year another before after this every years hours weeks day early year until years today months summer civil fiscal capital tribunal judicial general gov washington municipal central exchange offer reservation branch company bid authority large offers orders hunched clamped bandaged crouched kneeling clutching hoisted gripped squatted bowed suppliers manufacturer companies exporters carriers firms distributors appliances panels vendors 
8,Trump,,
9,Trump,Thank you to President Zelensky. Case over. The Do Nothing Democrats should finally go back to work!,obama barack clinton minister says romney kerry potus pope hillary everything anything something but else whatever it means either thinking republicans conservatives liberals dems voters gop republican tories politicians americans working today going need needed way early get better now thanks bless hope thankyou welcome good you happy cheers dear cases cell charge black camera duty screen set or card 
10,Trump,"In the 3 decades before my election, NATO spending declined by two-thirds, and only 3 other NATO members were meeting their financial obligations. Since I took office, the number of NATO allies fulfilling their obligations more than DOUBLED, and NATO spending increased by $130B!",went gave came brought got did thought almost had told service library company board center private house staff room public afghanistan taliban regime mali iranian afghan bomber missile haiti pakistan groups group leaders students staff youth member including allowed us investment finance banking economic strategic development equity corporate business funding responsibilities commitments conflicts finances shortcomings stability becaus challenging intoxicatin ambitions centuries decade several yrs deaths began countless throughout numerous previously responsibilities commitments conflicts finances shortcomings stability becaus challenging intoxicatin ambitions three four five few six many both years those other interchangeable shafts machined fourths sided yazılıdan casters graphite dimensional netting years already almost last months weeks before yesterday after year name only first numbers answer second same every id list conference planning group next opening interview during event staff present elections congress presidential polls gop voters govt senate parliament immigration tripled skyrocketed quadrupled gained plummeted declined decreased generated contributed accumulated 
11,Trump,"Great job by @RepDougCollins of Georgia over the weekend in representing the Republican Party, and myself, against the Impeachment Hoax!",democrat democratic gop conservative republicans democrats senate senator voters potus friday house saturday night next coming tonight sunday day here proceedings libel prosecution resignation leveson scrutiny deportation graft lawsuit testify parody dibajak absurd twitternya barusan fitnah typo virus anonymous update amazing good fantastic awesome our wonderful today this the have business manager jobs hiring assistant management needed company service work week saturday night summer sunday holiday day fun friday tomorrow supporting represent represented repping competing joining advancing leading reppin visiting ohio florida michigan texas minnesota tennessee alabama kansas arkansas indiana 
12,Trump,"When Lisa Page, the lover of Peter Strzok, talks about being “crushed”, and how innocent she is, ask her to read Peter’s “Insurance Policy” text, to her, just in case Hillary loses. Also, why were the lovers text messages scrubbed after he left Mueller. Where are they Lisa?",robert martin richard simon david john george bruce brian joe came before went almost already since got took lost still wootton burgess michiels wozniacki stam robson carvalho dorn dalembert varejao amy lily anna sophie olivia naomi samantha liz jenny sarah post profile blog pages check click website email message article amy lily anna sophie olivia naomi samantha liz jenny sarah calls says tells ’s about takes meets joins turns makes lovers friend woman girl dream gentleman person soul partner bear child violent brave rape woman victim heartless dangerous death killing whats tell you asking talk answer can know not twitter will which actually how have only would should could probably 
13,Trump,"The Republican Party has NEVER been so united! This Impeachment Scam is just a continuation of the 3 year Witch Hunt, but it is only bringing us even closer together!",democrat democratic gop conservative republicans democrats senate senator voters potus friday house saturday night next coming tonight sunday day here proceedings libel prosecution resignation leveson scrutiny deportation graft lawsuit testify fraud scams scheme theft bogus subsidy conspiracy tax insider legitimate manchester liverpool arsenal chelsea tottenham swansea utd qpr england everton n't remember ever always know not forget could think even decider postponement tentative determiner exception regards implication wwtt prologue suggestion 
14,Trump,"Not only did I see it @Doks_Art, I think it is fantastic. You are a wonderful artist, never give up your dream!",lovely great amazing beautiful fabulous fantastic awesome inspiring incredible very artists singer band featured musician music producer singers song hip-hop n't remember ever always know not forget could think even take let 'll forget bring if need n't you get know n't how really why thought what but that did where you know there 'll let here what how it amazing brilliant great incredible awesome wonderful superb fabulous lovely excellent dreams world life love day perfect you wish one good 
