,Name,Tweet
0,Elizabeth Warren,Devastating – and unacceptable. It's time for the @SenateGOP to stop working for the gun industry and start taking…
1,Elizabeth Warren,It’s true: our student loan system IS fundamentally broken. That’s why @WhipClyburn &amp; I have a bill to cancel stude…
2,Elizabeth Warren,"Dr. Johnson says that “repayment trends suggest much of the [student loan] debt will likely never be repaid,” but…"
3,Elizabeth Warren,"Last month, one of @BetsyDeVosED’s top student loan advisors abruptly resigned, called the student loan system “fun…"
4,Elizabeth Warren,MA residents want clean air &amp; water &amp; safety for their communities. They don’t want Big Oil &amp; Gas swooping in to tu…
5,Elizabeth Warren,"Our brave firefighters risk their lives every day to keep us safe, &amp; it’s a tragedy when someone doesn’t make it ho…"
6,Elizabeth Warren,Valeria &amp; her sister are woven into the fabric of our Commonwealth &amp; our country. Their #HomeIsHere. I stand with o…
7,Elizabeth Warren,"Last week, I partnered with my colleagues on a bipartisan resolution urging the @USPS to commemorate some of the mo…"
8,Elizabeth Warren,"All 3 of my brothers served in the military, &amp; I appreciate the sacrifices &amp; contributions that our servicemembers,…"
9,Elizabeth Warren,I’ve worked hard in the Senate to improve the lives of our veterans &amp; military families. I co-led a bipartisan bill…
10,Elizabeth Warren,"Welcome back to Massachusetts, Ambassador @SenScottBrown and Gail! I know it will be good for New England Law Bosto…"
11,Elizabeth Warren,"All 3 of my brothers came home safe after their service, but many do not. My bipartisan bill signed into law this w…"
12,Elizabeth Warren,.@SenatorMenendez issued a report showing the Trump administration recklessly ignored the warnings of career…
13,Elizabeth Warren,This is disgusting. Eric Blankenstein’s racist writings disqualify him from a job at @HUDgov or any other governmen…
14,Elizabeth Warren,"Like a lot of parents in MA &amp; across the country, I struggled as a young mom to find &amp; afford quality child care. T…"
15,Elizabeth Warren,"Last month, I wrote a letter to the @StateDept &amp; @DeptofDefense asking whether continuing to sell our military hard…"
16,Elizabeth Warren,Step 1: Saudis transfer U.S. military equipment to Yemen.Step 2: UAE-backed separatist militia gets that equipment…
17,Elizabeth Warren,"Before the @FCC approved the deal, T-Mobile execs spent $195k at Trump Hotels. This is what corruption looks like,…"
18,Elizabeth Warren,"The US has a monopoly problem. In industry after industry, giant corporations get to play by their own political &amp;…"
19,Elizabeth Warren,The @FCC’s final approval of the T-Mobile/Sprint merger officially hands control of nearly 100% of wireless service…
20,Elizabeth Warren,"Drug breakthroughs don’t happen by magic – they’re the result of generations of taxpayer investments. But in 2018,…"
21,Elizabeth Warren,My bill requires giant drug companies that produce billion-dollar drugs &amp; enter federal settlements to reinvest a p…
