,Name,Tweet
0,Hillary Clinton,"@dianejeffersonc @KatiGracee Thank you so much for your words, @KatiGracee, and for sharing them, @dianejeffersonc.…"
1,Hillary Clinton,Bernard Tyson spent his career working to help more people get access to more affordable health care. It’s a legacy…
2,Hillary Clinton,"Members of our armed forces sacrifice time with their families, their safety, and sometimes even their lives to ser…"
3,Hillary Clinton,"I'm endlessly impressed by the no-nonsense, hope-fueled, incredibly effective @IndivisibleTeam movement. (It's why…"
4,Hillary Clinton,CC: @USSoccer
5,Hillary Clinton,".@Safiya_S_Khalid arrived in Lewiston, Maine as a refugee 10 years ago.This week, she became the first Somali-Ame…"
6,Hillary Clinton,You heard it here first:Not taking up professional running anytime
7,Hillary Clinton,Such a lovely night in LA—thanks to everyone who came out to talk gutsy women with us!
8,Hillary Clinton,Rudy should really consider taking up @jkcorden on the offer of a free exorcism.
9,Hillary Clinton,"I also want to shout out @Hashmi4Va, the first Muslim woman elected to the VA State Senate. As she said yesterday,…"
10,Hillary Clinton,"I'm so proud of @OnwardTogether partners &amp; grantees like @ArenaSummit, @IndivisibleTeam, @RunForSomething,…"
11,Hillary Clinton,"Congratulations to all the volunteers, organizers, and candidates who worked their hearts out, win and lose, in 201…"
12,Hillary Clinton,"On the climate crisis and on so many other fronts, the United States has abdicated its position as a country that l…"
13,Hillary Clinton,"To clarify, Louisiana will vote for governor on November 16th due to a runoff. Get ready to geaux vote!"
14,Hillary Clinton,"Until Facebook takes responsibility for damaging democracies by letting propaganda run amok, we need to counter the…"
15,Hillary Clinton,"Today there are gubernatorial elections in Louisiana, Kentucky, &amp; Mississippi, state legislative elections in New J…"
16,Hillary Clinton,"Leaders like @repjohnlewis, @doloreshuerta, &amp; @barackobama got their start as organizers because they felt called t…"
17,Hillary Clinton,"Congratulations to the gutsiest of women, @gloriasteinem, on her aptly named, incredibly inspiring, so-very-her new…"
18,Hillary Clinton,"Tomorrow is Election Day in many states, with a decade of fair congressional maps on the line in Virginia. Join…"
19,Hillary Clinton,Next Tuesday's elections will determine whether Virginia gets fair congressional maps for the next decade. If you…
20,Hillary Clinton,"The rumors are true: @ChelseaClinton and I are @TrevorNoah fans. Thanks for having us on to talk #gutsywomen,…"
21,Hillary Clinton,Recording the @SimonAudio audiobook with @ChelseaClinton for The Book of Gutsy Women was such a joy. Here's Chelsea…
22,Hillary Clinton,"Everywhere @ChelseaClinton and I go on The Book of Gutsy Women tour, people tell us about the incredible women in t…"
23,Hillary Clinton,World Series champs should get statehood. #FinishTheFight
24,Hillary Clinton,"This is the right thing to do for democracy in America and all over the world. What say you, @Facebook?"
25,Hillary Clinton,Facebook's decision to allow false information in political advertisements is appalling. Voters are being confron…
26,Hillary Clinton,The Trump administration is failing our kids. Vote
27,Hillary Clinton,"If you want a career in politics but aren't sure how to start, take a look at @TrainDems Staff Academy. Their mis…"
28,Hillary Clinton,"A healthy democracy depends on fair maps. Next Tuesday, voters in Virginia, Mississippi, Kentucky, and other states…"
29,Hillary Clinton,"I had the great honor of serving alongside Kay Hagan. She was a vibrant, intelligent, and effective Senator, a life…"
30,Hillary Clinton,"Good food, good books, and good people—all while you're getting a load of laundry done. There's no place like New…"
31,Hillary Clinton,This was a wonderful tribute to one of my all-time favorite #GutsyWomen.
32,Hillary Clinton,I'm with
33,Hillary Clinton,"Congressman Cummings had a simple philosophy: Do something. No matter how daunting a problem seems, no matter how h…"
34,Hillary Clinton,Ditto!
35,Hillary Clinton,"Statues are powerful things. When we cast figures in bronze, we immortalize their contributions to history.It too…"
36,Hillary Clinton,Can't wait. Join us!
37,Hillary Clinton,"One of my favorite @ClintonFdn podcast conversations to date:The Honorable, the notorious, and the seriously guts…"
38,Hillary Clinton,Bottom line: A good pantsuit is important. But never more important than what a woman has to
39,Hillary Clinton,Found in the archives...
40,Hillary Clinton,@CoryBooker
41,Hillary Clinton,"When I was a little girl, I wrote to NASA and told them I dreamed of being an astronaut. They wrote back and said…"
42,Hillary Clinton,"America lost a giant with the passing of Rep. Elijah Cummings, a man of principle who championed truth, justice and…"
43,Hillary Clinton,Speaking of gutsy women…
44,Hillary Clinton,This is a deliberate and ongoing effort to silence millions of Americans.Protecting the right to vote in America…
45,Hillary Clinton,"Earlier this year, Ryan Kyote used his allowance to help pay down his classmates' food service bills. He caught t…"
46,Hillary Clinton,“There is just no space to be anything but optimistic even in this moment of horror and disappointment in our leade…
47,Hillary Clinton,This sickening horror is one man’s fault.
48,Hillary Clinton,"Forty-four years later, and he still cleans up pretty well. Happy anniversary, Bill!"
49,Hillary Clinton,".@dreambignv, one of @OnwardTogether's grantee organizations, is raising money to cover DACA renewal fees for eligi…"
50,Hillary Clinton,The administration's decision to pull out of the Open Skies Treaty in a unilateral way that is not coordinated with…
51,Hillary Clinton,"On this International Day of the Girl, I’m thinking about all the gutsy girls who are changing the world—…"
52,Hillary Clinton,I'm delighted to be talking foreign policy shortly with Dean @michael_s_barr of the @fordschool at @umich. You ca…
53,Hillary Clinton,"If you'd like to work on a progressive campaign but don't know where to start, @ArenaSummit's December…"
54,Hillary Clinton,It's becoming a challenge to keep up with the high crimes and misdemeanors.
55,Hillary Clinton,"Thank you to all the readers who helped put ""The Book of Gutsy Women"" at the top of the list! @ChelseaClinton and I…"
56,Hillary Clinton,If you've considered running for local office—or know someone who would be great—please take a look at this incredi…
57,Hillary Clinton,"@cmclymer @ChelseaClinton Thank YOU, Charlotte, for all you do, and well done on that fabulous white suit!"
58,Hillary Clinton,I'd love to hear how @realdonaldtrump and Secretary Barr are going to take steps to protect our elections in light…
