,Name,Tweet
0,Donald Trump,A great try by @seanspicer. We are all proud of you!
1,Donald Trump,"“This isn’t about Ukraine. This isn’t about Impeachment. This is about subverting Democracy!” @BillOReilly So true,…"
2,Donald Trump,....want that to be an impeachable offense? Good luck with that!” @JesseBWatters @FoxNews
3,Donald Trump,"“The President has until September 30th to give this aid to Ukraine. He gets it out on September 11th., 3 weeks bef…"
4,Donald Trump,"Schiff and the Dems have created this whole thing, they reverse engineer it. They’ve been vowing to impeach for thr…"
5,Donald Trump,"In order to continue being the most Transparent President in history, I will be releasing sometime this week the Tr…"
6,Donald Trump,"Just like Schiff fabricated my phone call, he will fabricate the transcripts that he is making and releasing!"
7,Donald Trump,"Schiff is giving Republicans NO WITNESSES, NO LAWYER &amp; NO DUE PROCESS! It is a totally one sided Witch Hunt. This c…"
8,Donald Trump,Read the Transcript. It is PERFECT!
9,Donald Trump,To think I signed the Whistleblower Protection Act!
10,Donald Trump,Where is the Whistleblower who gave so much false information? Must testify along with Schiff and others!
11,Donald Trump,"Today, we come together as one Nation to salute the Veterans of the United States Armed Forces – the greatest warri…"
12,Donald Trump,"“The Chinese say (about Trump’s Trade War &amp; Tariffs), ‘he brought us to the table.’ This is the most prosperous eco…"
13,Donald Trump,Shifty Adam Schiff will only release doctored transcripts. We haven’t even seen the documents and are restricted fr…
14,Donald Trump,The lawyer for the Whistleblower takes away all credibility from this big Impeachment Scam! It should be ended and…
15,Donald Trump,"So with one Rally by me at the end of the campaign, I lift the poll numbers of Kentucky Governor Matt Bevin by 19 p…"
16,Donald Trump,"Will be meeting with representatives of the Vaping industry, together with medical professionals and individual sta…"
17,Donald Trump,HAPPY VETERANS DAY!
18,Donald Trump,https://t.co/5NgNEZJm8G
19,Donald Trump,https://t.co/LEjupyeKxw
20,Donald Trump,"A great new book just out, “The Plot Against the President. The True Story Of How Congressman Devin Nunes Uncovered…"
21,Donald Trump,"If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Ira…"
22,Donald Trump,
23,Donald Trump,
24,Donald Trump,
25,Donald Trump,".@NikkiHaley is out with a new book, “With All Due Respect” this week. Make sure you order your copy today, or stop…"
26,Donald Trump,The call to the Ukrainian President was PERFECT. Read the Transcript! There was NOTHING said that was in any way wr…
27,Donald Trump,“There’s nothing there! I’m trying to let the House know that they’re dividing America for no good reason. We’ve go…
28,Donald Trump,Corrupt politician Adam Schiff wants people from the White House to testify in his and Pelosi’s disgraceful Witch H…
29,Donald Trump,ABC is as bad as the rest of them. Journalistic standards are nonexistent today. The press is so dishonest that we…
