,Name,Tweet
0,Elizabeth Warren,"20 years ago, the @WorcesterFD courageously ran into a burning warehouse, &amp; six brave firefighters didn’t make it out. Today we honor the Worcester 6, &amp; we remember the sacrifice that all our firefighters make to keep us safe every day. #W6"
1,Elizabeth Warren,"For far too long, big corporations have taken advantage of part-time workers with unpredictable work schedules – creating real hardships for them. My bill with @RepSchakowsky strengthens the rights, stability, &amp; other protections workers deserve to build better financial futures."
2,Elizabeth Warren,The Part-Time Worker Bill of Rights Act would:❌ Require big companies to offer available hours to part-time employees before hiring new employees/subcontractors❌ Make more part-time employees eligible for FMLA❌ Give part-time workers access to pension plans
3,Elizabeth Warren,2/3 of part-time retail &amp; food workers want full-time work – but corporations often keep workers part-time to save on wages &amp; benefits. @RepSchakowsky &amp; I are introducing the Part-Time Worker Bill of Rights Act to boost protections for part-time workers.
4,Elizabeth Warren,"All workers, including Harvard grad students, should have the right to organize &amp; fight for better wages &amp; working conditions. I've joined the entire MA delegation in urging Harvard’s leadership to negotiate in good faith with @hgsuuaw for a fair agreement."
5,Elizabeth Warren,"Retail, fast food, &amp; other hourly workers deserve some basic fairness when it comes to scheduling shifts. That’s why my #SchedulesThatWork Act with @rosadelauro would end some of the very worst abuses that hurt workers &amp; families. #FairWorkWeek"
6,Elizabeth Warren,"Holtec shouldn't be exempt from important emergency prep safeguards as it decommissions the Pilgrim Nuclear Power Station. The community has rightly raised important questions about the plant's decommissioning. They deserve answers, not more strong-arming."
7,Elizabeth Warren,"US military hardware in the hands of armed groups in Yemen violates US law &amp; undermines our security. Glad that @StateDept &amp; @DeptofDefense are investigating, but Saudi &amp; UAE govts aren’t fully cooperating. I still think selling them arms is a bad idea."
8,Elizabeth Warren,"President Trump's trade-war-by-tweet with China is hurting cranberry farmers in MA &amp; across the country. @SenMarkey, @USRepKeating, @RepJoeKennedy &amp; I are urging the @USTradeRep to find new markets to compensate for China’s 40% tariffs on US cranberries."
9,Elizabeth Warren,"This month, my POW/MIA Flag Act became law. Starting this week, you’ll see this Flag flying with the US flag over the Capitol permanently. This symbol must now be displayed daily at many federal sites across the nation so we never forget our servicemembers who didn’t return home."
10,Elizabeth Warren,"Working families deserve a @CFPB that will get the tricks &amp; traps out of credit cards &amp; other financial products – &amp; stand up to big banks, credit card &amp; fintech companies when they cheat &amp; discriminate. I’ll keep fighting to hold the CFPB accountable until it does its job."
11,Elizabeth Warren,"In the 2 yrs they’ve controlled @CFPB, @MickMulvaneyOMB &amp; @CFPBDirector have gutted its fair lending office, stripped it of exam &amp; enforcement powers, &amp; failed to file even 1 equal credit enforcement action. Could it be that banks know they can discriminate without consequences?"
12,Elizabeth Warren,.@CFPB’s job is to enforce fair lending laws &amp; stop discriminatory financial products. @SenSherrodBrown &amp; I want @CFPBDirector to explain how @GoldmanSachs’ @Apple Card slipped through when women who apply may get worse terms than men with similar credit.
13,Elizabeth Warren,"Our hearts go out to the crew of the F/V Leonardo, their loved ones, &amp; to our entire fishing community in New Bedford. Fishing is more than a job or industry in MA – it's a family. We're grateful for the @USCG's tireless work today &amp; every day."
14,Elizabeth Warren,"On International Day for the Elimination of Violence against Women, let’s reaffirm our commitment to ensuring women &amp; girls worldwide can live free from violence. The US can show leadership by reauthorizing the Violence Against Women Act. #OrangeTheWorld #VAWA4ALL"
15,Elizabeth Warren,"Congrats to Boston Battery Wharf Hotel workers &amp; @UNITEHERE26 for ratifying a new contract for better pay, affordable health care, fair scheduling, &amp; protections from sexual harassment &amp; discrimination. It was a tough fight – but when workers fight, workers win."
16,Elizabeth Warren,.@SenMarkey &amp; I are proud to see @EnergyCommerce pass our Leonel Rondon Pipeline Safety Act with @RepLoriTrahan as part of their SAFER Pipelines Act – &amp; we’re grateful for good neighbors like @RepAnnieKuster who fight to help keep the Merrimack Valley &amp; all our communities safe.
